ID,リスク,重要度,影響,対策,主な出典
R-01,特商法表示の不足,高,行政処分・顧客トラブル,特商法表記テンプレと公開前チェックを必須化,S6
R-02,サブスク解約条件が不明確,高,返金・チャージバック・評判低下,最終確認画面、FAQ、会員画面に更新/解約条件を表示,S6
R-03,広告表現の根拠不足,高,景表法違反・炎上,広告根拠ファイル、PR表記、レビュー管理を運用化,S10
R-04,著作権・素材ライセンス違反,高,販売停止・損害賠償,素材台帳、利用許諾証跡、AI生成物の権利確認を保管,S11
R-05,個人情報漏えい,高,信用失墜・法的対応,取得最小化、暗号化、2FA、バックアップ、漏えい時手順,S9
R-06,インボイス判断ミス,中,法人顧客の取引減・消費税負担増,登録/非登録の損益試算を年1回見直す,S3/S4
R-07,前払式支払手段の該当リスク,中,金融規制対応が必要,独自コイン/ポイント/ギフト券は発行前に専門家確認,S13
R-08,プラットフォーム依存,中,手数料改定・BAN・顧客接点喪失,複数チャネル、メールリスト、商品データの定期エクスポート,
R-09,クラウドAIへの機密投入,中,機密漏えい・規約違反,開発ではダミーデータのみ。実顧客・税番号・契約原本は投入しない,S14/S15
R-10,ローカルアプリのデータ消失,高,業務停止・申告不能,暗号化バックアップ、復元テスト、エクスポート、監査ログ,
